Date,Open,High,Low,Close,Volume
04/18/2013,49.34,49.34,49.34,49.34,100
04/24/2013,50.05,50.05,50.05,50.05,510
04/25/2013,51.01,51.01,51.01,51.01,100
04/26/2013,50.79,50.79,50.79,50.79,400
04/30/2013,49.97,49.97,49.97,49.97,894
05/02/2013,51.12,51.19,51.12,51.1899,355
05/08/2013,52.12,52.3,52.12,52.28,1800
05/09/2013,52.11,52.11,52.11,52.11,500
05/10/2013,52.87,52.87,52.15,52.2543,1842
05/13/2013,52.93,52.93,52.178,52.32,463
05/14/2013,52.87,52.87,52.87,52.87,303
05/15/2013,52.9755,52.9755,52.9755,52.9755,110
05/16/2013,53.3,53.3,53.29,53.29,1200
05/17/2013,53.314,53.314,53.3,53.3,503
05/21/2013,53.78,53.83,53.7799,53.7799,1100
05/22/2013,53.75,53.75,53.29,53.29,600
05/23/2013,52.65,52.74,52.65,52.74,300
05/24/2013,52.93,52.93,52.93,52.93,100
05/28/2013,53.86,53.86,53.7,53.7,934
05/29/2013,53.4131,53.4131,53.4131,53.4131,100
05/30/2013,53.63,53.63,53.63,53.63,1500
05/31/2013,53.62,53.62,53.62,53.62,930
06/04/2013,53.11,53.26,53.11,53.26,920
06/05/2013,52.1,52.1,52.1,52.1,100
06/10/2013,53.13,53.25,53.13,53.25,3780
06/11/2013,53.18,53.18,53.18,53.18,470
06/12/2013,52.61,52.61,52.61,52.61,500
06/14/2013,52.96,52.96,52.6,52.6,1294
06/17/2013,52.95,52.95,52.95,52.95,500
06/19/2013,53.392,53.404,53.36,53.36,800
06/20/2013,51.8399,51.8399,51.73,51.73,687
06/21/2013,51.792,51.792,51.1601,51.62,1200
06/24/2013,50.701,50.75,50.701,50.75,600
06/25/2013,51.3799,51.38,51.3799,51.38,200
06/28/2013,52.05,52.05,52.05,52.05,100
07/01/2013,52.39,52.4,52.35,52.35,1600
07/05/2013,52.43,52.43,52.17,52.17,1500
07/08/2013,53.02,53.02,53.02,53.02,138
07/09/2013,53.44,53.44,53.44,53.44,600
07/12/2013,54.08,54.09,54.07,54.07,1600
07/15/2013,54.32,54.32,54.32,54.32,672
07/16/2013,54.41,54.41,54.09,54.09,584
07/18/2013,54.728,54.732,54.66,54.732,1450
07/19/2013,54.63,54.63,54.63,54.63,180
07/22/2013,54.99,54.99,54.78,54.78,1385
